date,Verizon
2014-01-15,48.6
2014-01-16,46.980000000000004
2014-01-17,49.14
2014-01-18,47.52
2014-01-19,44.82
2014-01-20,45.900000000000006
2014-01-21,45.36
2014-01-22,44.82
2014-01-23,44.82
2014-01-24,44.82
2014-01-25,44.82
2014-01-26,39.96
2014-01-27,39.96
2014-01-28,42.120000000000005
2014-01-29,41.040000000000006
2014-01-30,43.74
2014-01-31,45.900000000000006
2014-02-01,47.040000000000006
2014-02-02,42.56
2014-02-03,44.800000000000004
2014-02-04,47.040000000000006
2014-02-05,47.6
2014-02-06,44.24
2014-02-07,47.6
2014-02-08,50.400000000000006
2014-02-09,43.68000000000001
2014-02-10,46.480000000000004
2014-02-11,47.040000000000006
2014-02-12,45.92
2014-02-13,52.080000000000005
2014-02-14,52.64000000000001
2014-02-15,56.00000000000001
2014-02-16,48.160000000000004
2014-02-17,51.52
2014-02-18,47.040000000000006
2014-02-19,48.160000000000004
2014-02-20,45.92
2014-02-21,48.160000000000004
2014-02-22,48.720000000000006
2014-02-23,44.24
2014-02-24,47.040000000000006
