date,NVIDIA
2013-11-05,42.56
2013-11-06,44.08
2013-11-07,48.64
2013-11-08,48.64
2013-11-09,54.72
2013-11-10,47.12
2013-11-11,40.28
2013-11-12,44.08
2013-11-13,43.32
2013-11-14,44.08
2013-11-15,43.32
2013-11-16,50.160000000000004
2013-11-17,49.4
2013-11-18,44.08
2013-11-19,50.160000000000004
2013-11-20,49.4
2013-11-21,43.32
2013-11-22,40.28
2013-11-23,47.88
2013-11-24,45.6
2013-11-25,43.32
2013-11-26,42.56
2013-11-27,45.6
2013-11-28,62.32
2013-11-29,76.0
2013-11-30,58.52
2013-12-01,62.25
2013-12-02,68.25
2013-12-03,62.25
2013-12-04,57.75
2013-12-05,51.0
2013-12-06,51.0
2013-12-07,57.0
2013-12-08,57.75
2013-12-09,47.25
2013-12-10,49.5
2013-12-11,46.5
2013-12-12,50.25
2013-12-13,54.0
2013-12-14,63.75
2013-12-15,62.25
2013-12-16,45.0
2013-12-17,53.25
2013-12-18,57.0
2013-12-19,58.5
2013-12-20,52.5
2013-12-21,60.75
2013-12-22,50.25
2013-12-23,54.75
2013-12-24,57.75
2013-12-25,71.25
2013-12-26,75.0
2013-12-27,65.25
2013-12-28,58.5
2013-12-29,57.75
2013-12-30,51.0
2013-12-31,53.25
2014-01-01,55.080000000000005
2014-01-02,48.28
2014-01-03,53.720000000000006
2014-01-04,52.36000000000001
2014-01-05,55.760000000000005
2014-01-06,68.0
2014-01-07,59.160000000000004
2014-01-08,64.60000000000001
2014-01-09,57.800000000000004
2014-01-10,55.080000000000005
2014-01-11,57.800000000000004
2014-01-12,55.080000000000005
2014-01-13,44.88
2014-01-14,51.68000000000001
2014-01-15,51.68000000000001
2014-01-16,53.720000000000006
2014-01-17,50.32
2014-01-18,59.160000000000004
2014-01-19,57.800000000000004
2014-01-20,52.36000000000001
2014-01-21,42.84
2014-01-22,51.68000000000001
2014-01-23,48.96
2014-01-24,44.2
2014-01-25,51.68000000000001
2014-01-26,50.32
2014-01-27,45.56
2014-01-28,45.56
2014-01-29,49.64
2014-01-30,51.00000000000001
2014-01-31,52.36000000000001
2014-02-01,39.68
2014-02-02,42.24
2014-02-03,33.92
2014-02-04,37.12
2014-02-05,40.96
2014-02-06,35.84
2014-02-07,39.68
2014-02-08,42.88
2014-02-09,38.4
2014-02-10,38.4
2014-02-11,42.24
2014-02-12,37.76
2014-02-13,39.68
2014-02-14,40.32
2014-02-15,42.24
2014-02-16,42.24
2014-02-17,45.44
2014-02-18,51.84
2014-02-19,64.0
2014-02-20,48.0
2014-02-21,44.800000000000004
2014-02-22,50.56
2014-02-23,49.28
2014-02-24,39.04
2014-02-25,38.4
2014-02-26,40.96
2014-02-27,46.72
2014-02-28,42.24
2014-03-01,55.04
2014-03-02,48.64
2014-03-03,36.480000000000004
2014-03-04,47.36
2014-03-05,43.52
