date,sba loans
2013-12-17,0.8
2013-12-18,1.22
2013-12-19,0.42
2013-12-20,1.02
2013-12-21,0.52
2013-12-22,1.58
2013-12-23,1.1400000000000001
2013-12-24,1.0
2013-12-25,0.62
2013-12-26,0.72
2013-12-27,0.68
2013-12-28,0.84
2013-12-29,1.0
2013-12-30,0.84
2013-12-31,0.74
2014-01-01,0.84
2014-01-02,1.02
2014-01-03,1.3499999999999999
2014-01-04,0.57
2014-01-05,1.14
2014-01-06,1.44
2014-01-07,1.92
2014-01-08,1.3199999999999998
2014-01-09,1.47
2014-01-10,3.0
2014-01-11,1.56
2014-01-12,0.78
2014-01-13,0.96
2014-01-14,1.5899999999999999
2014-01-15,0.48
2014-01-16,0.96
2014-01-17,2.16
2014-01-18,1.5
2014-01-19,0.8999999999999999
2014-01-20,1.26
2014-01-21,1.41
2014-01-22,2.37
2014-01-23,1.5899999999999999
2014-01-24,1.77
2014-01-25,1.17
2014-01-26,2.04
2014-01-27,1.38
2014-01-28,1.8599999999999999
2014-01-29,1.56
2014-01-30,1.44
2014-01-31,1.47
2014-02-01,2.01
2014-02-02,1.7999999999999998
2014-02-03,1.5899999999999999
2014-02-04,1.98
2014-02-05,2.85
2014-02-06,1.7999999999999998
2014-02-07,2.19
2014-02-08,0.99
2014-02-09,2.19
2014-02-10,2.16
2014-02-11,0.99
2014-02-12,1.5899999999999999
2014-02-13,1.8299999999999998
2014-02-14,2.55
2014-02-15,0.75
2014-02-16,1.5
2014-02-17,1.05
2014-02-18,2.01
2014-02-19,1.41
2014-02-20,1.2
2014-02-21,1.8599999999999999
2014-02-22,1.26
2014-02-23,0.99
2014-02-24,3.0
2014-02-25,2.16
2014-02-26,2.79
2014-02-27,2.01
2014-02-28,1.44
2014-03-01,0.62
2014-03-02,1.2
2014-03-03,1.6
2014-03-04,0.8200000000000001
2014-03-05,1.16
2014-03-06,1.02
2014-03-07,1.22
2014-03-08,1.26
2014-03-09,1.24
2014-03-10,1.36
2014-03-11,1.02
2014-03-12,1.52
2014-03-13,1.04
2014-03-14,1.62
2014-03-15,1.6
